loop,domain,checks,result
767,d7_refs,30,PASS
768,d8_scaling,1,PASS
769,d9_icon_buttons,1,PASS
770,d10_enter_defaults,1,PASS
771,d1_destructive,8,PASS
772,d2_a11y_i18n,1,PASS
773,d3_filter_hygiene,1,PASS
774,d4_focus_rules,1,PASS
775,d5_cockpit_presets,6,PASS
776,d6_placeholders,16,PASS
777,d7_refs,12,PASS
778,d8_scaling,1,PASS
779,d9_icon_buttons,1,PASS
780,d10_enter_defaults,1,PASS
781,d1_destructive,8,PASS
782,d2_a11y_i18n,1,PASS
783,d3_filter_hygiene,1,PASS
784,d4_focus_rules,1,PASS
785,d5_cockpit_presets,6,PASS
786,d6_placeholders,16,PASS
787,d7_refs,207,PASS
788,d8_scaling,1,PASS
789,d9_icon_buttons,1,PASS
790,d10_enter_defaults,1,PASS
791,d1_destructive,8,PASS
792,d2_a11y_i18n,1,PASS
793,d3_filter_hygiene,1,PASS
794,d4_focus_rules,1,PASS
795,d5_cockpit_presets,6,PASS
796,d6_placeholders,16,PASS
797,d7_refs,123,PASS
798,d8_scaling,1,PASS
799,d9_icon_buttons,1,PASS
800,d10_enter_defaults,1,PASS
801,d1_destructive,8,PASS
802,d2_a11y_i18n,1,PASS
803,d3_filter_hygiene,1,PASS
804,d4_focus_rules,1,PASS
805,d5_cockpit_presets,6,PASS
806,d6_placeholders,16,PASS
807,d7_refs,96,PASS
808,d8_scaling,1,PASS
809,d9_icon_buttons,1,PASS
810,d10_enter_defaults,1,PASS
811,d1_destructive,8,PASS
812,d2_a11y_i18n,1,PASS
813,d3_filter_hygiene,1,PASS
814,d4_focus_rules,1,PASS
815,d5_cockpit_presets,6,PASS
816,d6_placeholders,15,PASS
817,d7_refs,171,PASS
818,d8_scaling,1,PASS
819,d9_icon_buttons,1,PASS
